mode,test_case,repetition,iterations,completed,dropped,payload_bytes,hot_elapsed_ns,worker_wall_ns,hot_mean_ns,hot_p50_ns,hot_p99_ns,worker_mean_ns,worker_p50_ns,worker_p99_ns,checksum
async_pipe,one_string_ten_int64,7,1000000,1000000,0,55,58043256,171208707,31.781,41,84,136.791,125,167,88000000
async_pipe,one_string_ten_decimal_strings,7,1000000,1000000,0,219,81103991,136206477,38.147,42,84,85.238,83,125,202000000
async_pipe,ten_strings_fifty_decimal_strings,7,1000000,1000000,0,1199,56052660,298672418,27.611,41,83,267.230,250,292,1088000000
async_pipe,one_string_ten_int64,8,1000000,1000000,0,55,67240316,180354350,36.195,42,208,139.825,125,167,88000000
async_pipe,one_string_ten_decimal_strings,8,1000000,1000000,0,219,87669617,147736637,41.218,42,125,93.223,83,167,202000000
async_pipe,ten_strings_fifty_decimal_strings,8,1000000,1000000,0,1199,63016206,329638205,31.199,41,125,294.392,250,666,1088000000
async_pipe,one_string_ten_int64,9,1000000,1000000,0,55,62851330,177899751,34.200,41,166,141.069,125,333,88000000
async_pipe,one_string_ten_decimal_strings,9,1000000,1000000,0,219,89576963,143684110,42.253,42,167,86.136,83,125,202000000
async_pipe,ten_strings_fifty_decimal_strings,9,1000000,1000000,0,1199,56994457,304181496,28.188,41,83,271.589,250,334,1088000000
async_pipe,one_string_ten_int64,10,1000000,1000000,0,55,70274378,186307139,37.928,42,208,143.705,125,333,88000000
async_pipe,one_string_ten_decimal_strings,10,1000000,1000000,0,219,80221901,139084954,37.400,42,83,87.990,83,167,202000000
async_pipe,ten_strings_fifty_decimal_strings,10,1000000,1000000,0,1199,55313988,323164371,27.277,41,83,289.624,250,667,1088000000
async_both,one_string_ten_int64,1,1000000,1000000,0,55,52417719,270238231,27.894,41,84,240.382,250,250,143000000
async_both,one_string_ten_decimal_strings,1,1000000,1000000,0,219,52622554,370085179,26.205,41,83,339.619,333,500,421000000
async_both,ten_strings_fifty_decimal_strings,1,1000000,1000000,0,1199,48217525,1305094565,23.946,41,42,1279.749,1250,1458,2287000000
async_both,one_string_ten_int64,2,1000000,1000000,0,55,53550685,283055525,28.638,41,84,251.478,250,334,143000000
async_both,one_string_ten_decimal_strings,2,1000000,1000000,0,219,51867382,344801763,25.728,41,83,315.842,333,334,421000000
async_both,ten_strings_fifty_decimal_strings,2,1000000,1000000,0,1199,46556472,1317494313,23.234,41,42,1292.520,1250,3333,2287000000
async_both,one_string_ten_int64,3,1000000,1000000,0,55,49910245,272539372,26.182,41,83,242.997,250,500,143000000
async_both,one_string_ten_decimal_strings,3,1000000,1000000,0,219,60327646,371361270,30.053,41,83,340.214,333,709,421000000
async_both,ten_strings_fifty_decimal_strings,3,1000000,1000000,0,1199,44831335,1276087458,22.045,41,42,1251.905,1250,1334,2287000000
async_both,one_string_ten_int64,4,1000000,1000000,0,55,50762500,260240083,27.131,41,84,231.543,250,250,143000000
async_both,one_string_ten_decimal_strings,4,1000000,1000000,0,219,50720916,345044223,25.317,41,83,316.509,333,334,421000000
async_both,ten_strings_fifty_decimal_strings,4,1000000,1000000,0,1199,44930711,1276519044,22.267,41,42,1252.445,1250,1375,2287000000
async_both,one_string_ten_int64,5,1000000,1000000,0,55,53163474,268287552,28.087,41,83,238.503,250,292,143000000
async_both,one_string_ten_decimal_strings,5,1000000,1000000,0,219,50683458,348285244,25.374,41,83,319.501,333,375,421000000
async_both,ten_strings_fifty_decimal_strings,5,1000000,1000000,0,1199,47000975,1274928326,23.472,41,42,1250.846,1250,1375,2287000000
async_both,one_string_ten_int64,6,1000000,1000000,0,55,50350331,260058582,26.964,41,84,231.269,250,250,143000000
async_both,one_string_ten_decimal_strings,6,1000000,1000000,0,219,51596797,342938917,25.655,41,83,314.358,292,334,421000000
async_both,ten_strings_fifty_decimal_strings,6,1000000,1000000,0,1199,45686758,1274356155,22.802,41,42,1250.191,1250,1334,2287000000
async_both,one_string_ten_int64,7,1000000,1000000,0,55,51591713,267038919,27.154,41,83,237.530,250,292,143000000
async_both,one_string_ten_decimal_strings,7,1000000,1000000,0,219,51438046,344074050,25.647,41,83,315.546,333,334,421000000
async_both,ten_strings_fifty_decimal_strings,7,1000000,1000000,0,1199,45137254,1273906277,22.478,41,42,1249.852,1250,1375,2287000000
async_both,one_string_ten_int64,8,1000000,1000000,0,55,50445873,261872385,26.878,41,83,232.898,250,250,143000000
async_both,one_string_ten_decimal_strings,8,1000000,1000000,0,219,51960091,352517647,25.812,41,83,323.126,333,375,421000000
async_both,ten_strings_fifty_decimal_strings,8,1000000,1000000,0,1199,44921170,1325430073,22.450,41,42,1299.256,1250,1459,2287000000
async_both,one_string_ten_int64,9,1000000,1000000,0,55,50186371,260233791,26.545,41,83,231.731,250,250,143000000
async_both,one_string_ten_decimal_strings,9,1000000,1000000,0,219,52427136,345454975,26.077,41,83,316.514,333,334,421000000
async_both,ten_strings_fifty_decimal_strings,9,1000000,1000000,0,1199,45070421,1280521306,22.359,41,42,1255.911,1250,1375,2287000000
async_both,one_string_ten_int64,10,1000000,1000000,0,55,51964929,261897898,27.676,41,83,233.070,250,250,143000000
async_both,one_string_ten_decimal_strings,10,1000000,1000000,0,219,53544408,362015498,26.673,41,83,331.581,333,416,421000000
async_both,ten_strings_fifty_decimal_strings,10,1000000,1000000,0,1199,44842939,1268564293,22.389,41,42,1244.648,1250,1334,2287000000
